,incident_datetime,incident_date,incident_time,incident_year,incident_day_of_week,report_datetime,row_id,incident_id,incident_number,cad_number,report_type_code,report_type_description,filed_online,incident_code,incident_category,incident_subcategory,incident_description,resolution,intersection,cnn,police_district,analysis_neighborhood,supervisor_district,latitude,longitude,point,daynum
302,2018-10-26 15:18:00,2018-10-26 00:00:00,15:18,2018,Friday,2018-10-26 15:30:00,73059619090,730596,180813527,182992446.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,GOLDEN GATE AVE \ LEAVENWORTH ST,24334000.0,Tenderloin,Tenderloin,6.0,37.78186333799253,-122.41386560526722,"(37.781863337992526, -122.41386560526722)",4
944,2018-10-28 10:27:00,2018-10-28 00:00:00,10:27,2018,Sunday,2018-10-28 10:27:00,73113719090,731137,180818066,183011388.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,VALENCIA ST \ 22ND ST,24115000.0,Mission,Mission,8.0,37.75529478092247,-122.42096409369465,"(37.75529478092247, -122.42096409369465)",6
1119,2018-10-28 23:00:00,2018-10-28 00:00:00,23:00,2018,Sunday,2018-10-28 23:24:00,73127319090,731273,180819707,183014042.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,PRECITA AVE \ MISSION ST,21340000.0,Ingleside,Bernal Heights,9.0,37.746775139448474,-122.41912130184565,"(37.746775139448474, -122.41912130184564)",6
2525,2018-10-31 15:16:00,2018-10-31 00:00:00,15:16,2018,Wednesday,2018-10-31 15:35:00,73255019090,732550,180825607,183042685.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,EDDY ST \ WEBSTER ST,25974000.0,Northern,Western Addition,5.0,37.781645583405364,-122.4306092003424,"(37.78164558340537, -122.43060920034239)",2
3054,2018-11-01 22:09:00,2018-11-01 00:00:00,22:09,2018,Thursday,2018-11-01 22:23:00,73300419090,733004,180831353,183054315.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,22ND ST \ HARRISON ST,23994000.0,Mission,Mission,9.0,37.75583251034902,-122.41219789356205,"(37.75583251034902, -122.41219789356205)",3
3073,2018-11-02 00:47:00,2018-11-02 00:00:00,00:47,2018,Friday,2018-11-02 00:47:00,73301919090,733019,170784881,183060099.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,CAPP ST \ 21ST ST,24084000.0,Mission,Mission,9.0,37.757100931031474,-122.41781190050699,"(37.75710093103147, -122.417811900507)",4
3369,2018-11-02 21:33:00,2018-11-02 00:00:00,21:33,2018,Friday,2018-11-02 21:41:00,73331519090,733315,180500558,183063812.0,IS,Initial Supplement,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Open or Active,16TH ST \ MISSION ST,24170000.0,Mission,Mission,9.0,37.76505133632968,-122.41966897380142,"(37.76505133632968, -122.41966897380142)",4
3467,2018-11-02 23:21:00,2018-11-02 00:00:00,23:21,2018,Friday,2018-11-02 23:26:00,73336519090,733365,180834250,183064150.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,MINNA ST \ NEW MONTGOMERY ST,24599000.0,Southern,Financial District/South Beach,6.0,37.78701078672742,-122.39997496307356,"(37.78701078672742, -122.39997496307357)",4
4316,2018-11-05 04:53:00,2018-11-05 00:00:00,04:53,2018,Monday,2018-11-05 04:53:00,73408119090,734081,180839567,183090341.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,UNION ST \ FRANKLIN ST,26687000.0,Northern,Marina,2.0,37.7983435358131,-122.4256255050547,"(37.7983435358131, -122.4256255050547)",0
4595,2018-11-06 20:31:00,2018-11-06 00:00:00,20:31,2018,Tuesday,2018-11-06 20:42:00,73433919090,734339,180841976,183093858.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,STEUART ST \ MISSION ST,24552000.0,Central,Financial District/South Beach,3.0,37.793230491320045,-122.3931813328012,"(37.79323049132005, -122.3931813328012)",1
4858,2018-11-06 10:50:00,2018-11-06 00:00:00,10:50,2018,Tuesday,2018-11-06 10:50:00,73459519090,734595,180842918,183101436.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,HAIGHT ST \ MASONIC AVE,26342000.0,Park,Haight Ashbury,5.0,37.77021017395845,-122.44534499148274,"(37.77021017395845, -122.44534499148274)",1
5366,2018-11-07 17:11:00,2018-11-07 00:00:00,17:11,2018,Wednesday,2018-11-07 17:11:00,73501719090,735017,180846932,183113318.0,II,Initial,,19090,Disorderly Conduct,Drunkenness,"Alcohol, Under Influence Of In Public Place",Cite or Arrest Adult,24TH ST \ FOLSOM ST,23990000.0,Mission,Mission,9.0,37.752506064398666,-122.41408603237402,"(37.752506064398666, -122.41408603237402)",2
